번호,규정명,기관명,본문,제정일,최근 개정일,소관부서,파일 다운로드 링크,파일 이름
1,선불카드 표준약관,여신금융협회,,,,,https://www.crefia.or.kr/portal/infocenter/regulation/downloadFile.xx?fileName=선불카드_표준약관(2023.12.27(개정))[20240202104854070].hwp&category=selfRegulation,선불카드_표준약관(2023.12.27(개정))[20240202104854070].hwp
2,신용카드 가맹점 표준약관,여신금융협회,,,,,https://www.crefia.or.kr/portal/infocenter/regulation/downloadFile.xx?fileName=「신용카드_가맹점_표준약관」_(2023.2.1._시행)[20230130133054127].hwp&category=selfRegulation,「신용카드_가맹점_표준약관」_(2023.2.1._시행)[20230130133054127].hwp
3,신용카드 개인회원 표준약관,여신금융협회,,,,,https://www.crefia.or.kr/portal/infocenter/regulation/downloadFile.xx?fileName=신용카드_개인회원_표준약관_개정안_전문(2024.9.9_개정)[20241017162843040].hwp&category=selfRegulation,신용카드_개인회원_표준약관_개정안_전문(2024.9.9_개정)[20241017162843040].hwp
4,신용카드 법인회원 연회비 부과 등에 관한 표준약관,여신금융협회,,,,,https://www.crefia.or.kr/portal/infocenter/regulation/downloadFile.xx?fileName=(붙임1)신용카드 법인회원 연회비 부과 등에 관한 표준약관(2021.1.1. 시행).hwp&category=selfRegulation,(붙임1)신용카드 법인회원 연회비 부과 등에 관한 표준약관(2021.1.1. 시행).hwp
5,여신금융회사 표준 여신거래기본약관 및 부속약관,여신금융협회,,,,,https://www.crefia.or.kr/portal/infocenter/regulation/downloadFile.xx?fileName=여신금융회사_표준_여신거래기본약관_241015[20241017141114161].hwp&category=selfRegulation,여신금융회사_표준_여신거래기본약관_241015[20241017141114161].hwp
6,- 개인신용대출 표준약관,여신금융협회,,,,,https://www.crefia.or.kr/portal/infocenter/regulation/downloadFile.xx?fileName=개인신용대출_표준약관_개정안_전문_241015[20241017141234942].hwp&category=selfRegulation,개인신용대출_표준약관_개정안_전문_241015[20241017141234942].hwp
7,- 자동차리스 표준약관,여신금융협회,,,,,https://www.crefia.or.kr/portal/infocenter/regulation/downloadFile.xx?fileName=자동차리스_표준약관_21.11.24_개정[20220412153241066].hwp&category=selfRegulation,자동차리스_표준약관_21.11.24_개정[20220412153241066].hwp
8,- 자동차 할부금융 표준약관,여신금융협회,,,,,https://www.crefia.or.kr/portal/infocenter/regulation/downloadFile.xx?fileName=자동차_할부금융_표준약관_개정안_241015[20241017141336516].hwp&category=selfRegulation,자동차_할부금융_표준약관_개정안_241015[20241017141336516].hwp
9,- 중고 자동차 대출 표준약관,여신금융협회,,,,,https://www.crefia.or.kr/portal/infocenter/regulation/downloadFile.xx?fileName=중고자동차_대출_표준약관_개정안_241015[20241017141436008].hwp&category=selfRegulation,중고자동차_대출_표준약관_개정안_241015[20241017141436008].hwp
10,여신전문금융회사 표준 전자금융거래 기본약관,여신금융협회,,,,,https://www.crefia.or.kr/portal/infocenter/regulation/downloadFile.xx?fileName=여신전문금융회사_표준_전자금융거래_기본약관_전문(시행일_24.9.15)[20240913103243154].hwp&category=selfRegulation,여신전문금융회사_표준_전자금융거래_기본약관_전문(시행일_24.9.15)[20240913103243154].hwp
11,휴대폰 메시지 표준약관,여신금융협회,,,,,https://www.crefia.or.kr/portal/infocenter/regulation/downloadFile.xx?fileName=휴대폰_메시지_표준약관(22.10.27_일부개정)[20221108104557772].hwp&category=selfRegulation,휴대폰_메시지_표준약관(22.10.27_일부개정)[20221108104557772].hwp
12,여신금융업권 표준내부통제기준,여신금융협회,,,,,https://www.crefia.or.kr/portal/infocenter/regulation/downloadFile.xx?fileName=「여신금융업권_표준내부통제기준」_전문_240331[20240404141353180].hwp&category=selfRegulation,「여신금융업권_표준내부통제기준」_전문_240331[20240404141353180].hwp
13,여신금융업권 금융사고 예방지침,여신금융협회,,,,,https://www.crefia.or.kr/portal/infocenter/regulation/downloadFile.xx?fileName=「여신금융업권_금융사고_예방지침」_전문FN[20240426173722825].hwp&category=selfRegulation,「여신금융업권_금융사고_예방지침」_전문FN[20240426173722825].hwp
