관리번호,제목,소관부서,시행일,시행여부,첨부파일명,첨부파일링크,담당부서,담당팀,담당자,자료문의,상세본문내용
감2025-21001,예치 방식의 선불충전금 별도관리 기준,전자금융감독국,20250924,시행중,(붙임) 예치 방식의 선불충전금 별도관리 기준.pdf,https://www.fss.or.kr/fss.hpdownload?path=/law/ptl/&file=2242148_20250924092330768_0.pdf&filere=%28%EB%B6%99%EC%9E%84%29+%EC%98%88%EC%B9%98+%EB%B0%A9%EC%8B%9D%EC%9D%98+%EC%84%A0%EB%B6%88%EC%B6%A9%EC%A0%84%EA%B8%88+%EB%B3%84%EB%8F%84%EA%B4%80%EB%A6%AC+%EA%B8%B0%EC%A4%80.pdf,전자금융감독국,지급결제제도팀,박형원 선임조사역,02-3145-8797,"1. 관련근거 - 「금융규제 운영규정」제16조

2. 「전자금융거래법」 제25조의2, 「전자금융거래법 시행령」 제13조의2 등에 따른 선불업자의 예치 방식 선불충전금 별도관리 의무와 관련됩니다.

3. 선불업자가 선불충전금관리기관(은행 등)에 선불충전금을 예치 방식으로 별도관리하는 경우, 선불업자 및 선불충전금관리기관(은행 등)이 준수하여야 할 지침을 아래와 같이 안내하오니, 향후 관련 업무 수행시 유의하여 주시기 바랍니다.

            - 아 래 -            
  - [관리번호] 감2025-21001 
  - [감독행정목적] 선불업자가 선불충전금관리기관(은행 등)에 선불충전금을 예치 방식으로 별도관리하는 경우, 선불업자 및 선불충전금관리기관(은행 등)이 준수하여야 할 지침을 제시
  - [감독행정내용] <붙임> 참조
  - [관련법령]  「전자금융거래법」 제25조의2, 「전자금융거래법 시행령」 제13조의2
  - [내부경영사항 관련] 해당 없음"
감2025-41004,손해사정서 작성 가이드라인,보험감독국,20250917,시행중,2509 손해사정서 작성 가이드라인_FAQ.hwp,https://www.fss.or.kr/fss.hpdownload?path=/law/ptl/&file=2180021_20250916190610709_0.hwp&filere=2509+%EC%86%90%ED%95%B4%EC%82%AC%EC%A0%95%EC%84%9C+%EC%9E%91%EC%84%B1+%EA%B0%80%EC%9D%B4%EB%93%9C%EB%9D%BC%EC%9D%B8_FAQ.hwp,보험감독국,보험제도팀,강영준 선임조사역,02-3145-7475,"1. 관련근거 - 금융규제 운영규정 제16조

2. 2025년 10월 1일부터 시행 예정인 손해사정서 작성 가이드라인을 송부드리니, 붙임을 참고하여 업무수행에 만전을 기하여 주시기 바랍니다. 

3. 아울러, 손해사정 관련 협회에서는 동 가이드라인의 회원사 배포 등 필요한 조치를 실시해주시기 바랍니다. 


            - 아 래 -            
  - [관리번호] 감2025-41004 
  - [감독행정목적] 손해사정서 작성 관련 가이드라인 제시
  - [감독행정내용] 붙임 참조
  - [관련법령]  보험업법 제189조, 보험업감독규정 제9-18조, 보험업감독업무시행세칙 제6-18조 등
  - [내부경영사항 관련] 해당 없음"
감2025-11002,공매도 통합 가이드라인,자본시장감독국,20250616,시행중,2506_감독행정_공매도 통합 가이드라인.hwpx,https://www.fss.or.kr/fss.hpdownload?path=/law/ptl/&file=2170072_20250616142023162_0.hwpx&filere=2506_%EA%B0%90%EB%8F%85%ED%96%89%EC%A0%95_%EA%B3%B5%EB%A7%A4%EB%8F%84+%ED%86%B5%ED%95%A9+%EA%B0%80%EC%9D%B4%EB%93%9C%EB%9D%BC%EC%9D%B8.hwpx,자본시장감독국,증권거래감독팀,김성중 선임조사역,3145-7593,"「ooo」를 아래와 같이 시행하오니 향후 관련 업무 수행에 참고하여 주시기 바랍니다. (예시사항으로, 자유롭게 문구 기재)

            - 아 래 -            
  - [관리번호] 감2025-11002 
  - [감독행정목적] 공매도 거래자가 자체적으로 불법여부를 검증하고 무차입공매도를 스스로 예방·통제할 수 있도록 주요 거래 유형별 세부적인 무차입공매도 판단기준을 포함한 통합 가이드라인을 제시
  - [감독행정내용] 붙임 참조
  - [관련법령]  자본시장법 제180조, 자본시장법 시행령 제208조, 금융투자업규정 제6-30조 등 
  - [내부경영사항 관련] 해당 없음"
감2025-41002,반려동물보험 상품 설계 관련 유의사항 안내,보험계리상품감독국,20250501,시행중,250326_(감독행정)반려동물보험 상품 설계 관련 유의사항 안내.hwp,https://www.fss.or.kr/fss.hpdownload?path=/law/ptl/&file=2200021_20250326094918001_0.hwp&filere=250326_%28%EA%B0%90%EB%8F%85%ED%96%89%EC%A0%95%29%EB%B0%98%EB%A0%A4%EB%8F%99%EB%AC%BC%EB%B3%B4%ED%97%98+%EC%83%81%ED%92%88+%EC%84%A4%EA%B3%84+%EA%B4%80%EB%A0%A8+%EC%9C%A0%EC%9D%98%EC%82%AC%ED%95%AD+%EC%95%88%EB%82%B4.hwp,보험계리상품감독국,보험상품감리팀,강주연 조사역,02-3145-7660,"1. 관련근거 - 「금융규제 운영규정」제16조

2. 「보험업법」 제128조의3, 「보험업감독업무시행세칙」 제5-19조 및 [별표18] 등에 따라 반려동물보험 상품 설계와 관련하여, <붙임>을 참고하여 업무 수행 시 유의하여 주시기 바랍니다.

            - 아 래 -     
       
  - [관리번호] 감2025-41002 
  - [감독행정목적] 반려동물보험 상품 설계시 계약자 역선택 소지를 제거하기 위한 지침을 제시
  - [감독행정내용] <붙임> 참조
  - [관련법령] 「보험업법」 제128조의3, 「보험업감독업무시행세칙」 제5-19조 및 [별표18]
  - [내부경영사항 관련] 해당 없음"
감2024-11005,「내부회계관리제도 평가 및 보고 가이드라인」및 「연결내부회계관리제도 평가·보고 대상범위 선정 가이드라인」 안내,회계감독국,20240101,폐지,(붙임1)내부회계관리제도 평가 및 보고 가이드라인.hwp | (붙임2)연결내부회계관리제도 평가·보고 대상범위 선정 가이드라인.hwp,https://www.fss.or.kr/fss.hpdownload?path=/law/ptl/&file=2230691_20240605155309015_0.hwp&filere=%28%EB%B6%99%EC%9E%841%29%EB%82%B4%EB%B6%80%ED%9A%8C%EA%B3%84%EA%B4%80%EB%A6%AC%EC%A0%9C%EB%8F%84+%ED%8F%89%EA%B0%80+%EB%B0%8F+%EB%B3%B4%EA%B3%A0+%EA%B0%80%EC%9D%B4%EB%93%9C%EB%9D%BC%EC%9D%B8.hwp | https://www.fss.or.kr/fss.hpdownload?path=/law/ptl/&file=2230691_20240605155309035_1.hwp&filere=%28%EB%B6%99%EC%9E%842%29%EC%97%B0%EA%B2%B0%EB%82%B4%EB%B6%80%ED%9A%8C%EA%B3%84%EA%B4%80%EB%A6%AC%EC%A0%9C%EB%8F%84+%ED%8F%89%EA%B0%80%C2%B7%EB%B3%B4%EA%B3%A0+%EB%8C%80%EC%83%81%EB%B2%94%EC%9C%84+%EC%84%A0%EC%A0%95+%EA%B0%80%EC%9D%B4%EB%93%9C%EB%9D%BC%EC%9D%B8.hwp,회계감독국,금융회계팀,양희정 선임조사역,02-3145-7972,"1. 관련근거 - 「금융규제 운영규정」 제16조

 2. 금융감독원은 내부회계관리제도 평가 및 보고와 관련하여 경영진의 책임의식을 제고하고, 연결 내부회계관리제도 평가·보고 대상범위 선정에 대한 실무상 혼란을 방지하기 위해, 「내부회계관리제도 평가 및 보고 가이드라인」과 「연결내부회계관리제도 평가·보고 대상범위 선정 가이드라인」을 (붙임1, 2)와 같이 마련하였습니다.

 3. 이에 (붙임1, 2)를 참고하여 관련 업무 수행에 주의를 기울여 주시기 바랍니다.



            - 아 래 -            

  - [관리번호] 감2024-11005 
  - [감독행정목적] 내부회계관리제도 평가 및 보고 가이드라인, 연결 내부회계관리제도 평가·보고 대상범위 선정 가이드라인 제시
  - [감독행정내용] 붙임 참조
  - [관련법령]  외부감사 및 회계 등에 관한 규정 제6조, 외부감사 및 회계 등에 관한 규정 시행세칙 [별표6] 등
  - [내부경영사항 관련] 해당 없음
    

- [폐지일자] 2024년 12월 23일"
감2024-41006,경영인정기보험 관련 유의사항 안내,보험리스크관리국,20241223,시행중,241223_[감독행정 붙임] 경영인정기보험 유의사항 안내F.hwpx,https://www.fss.or.kr/fss.hpdownload?path=/law/ptl/&file=2110350_20241223153054170_0.hwpx&filere=241223_%5B%EA%B0%90%EB%8F%85%ED%96%89%EC%A0%95+%EB%B6%99%EC%9E%84%5D+%EA%B2%BD%EC%98%81%EC%9D%B8%EC%A0%95%EA%B8%B0%EB%B3%B4%ED%97%98+%EC%9C%A0%EC%9D%98%EC%82%AC%ED%95%AD+%EC%95%88%EB%82%B4F.hwpx,보험리스크관리국,보험상품감리팀,최웅순 조사역,02-3145-7656,"「보험업법」 제128조의3, 「보험업감독업무시행세칙」 제5-19조(보험상품 심사기준) 및 [별표18] 등에 따라 경영인정기보험 상품 운영과 관련하여, <붙임>을 참고하여 업무 수행 시 유의하여 주시기 바랍니다.

            - 아 래 -            
  - [관리번호] 감2024-41006 
  - [감독행정목적] 경영인정기보험의 불완전판매가 지속되어 상품구조상 불건전 영업행위 유발의 원인이 되는 요소를 경감하기 위한 지침을 제시
  - [감독행정내용] <붙임> 참조
  - [관련법령]  보험업법
  - [내부경영사항 관련] 해당 없음"
감2024-41005,보험회사 책임준비금 산출과 관련한 계리적가정 가이드라인,보험리스크관리국,20241206,시행중,보험회사 책임준비금 산출과 관련한 계리적가정 가이드라인_FF.hwp,https://www.fss.or.kr/fss.hpdownload?path=/law/ptl/&file=2220027_20241211154759430_0.hwp&filere=%EB%B3%B4%ED%97%98%ED%9A%8C%EC%82%AC+%EC%B1%85%EC%9E%84%EC%A4%80%EB%B9%84%EA%B8%88+%EC%82%B0%EC%B6%9C%EA%B3%BC+%EA%B4%80%EB%A0%A8%ED%95%9C+%EA%B3%84%EB%A6%AC%EC%A0%81%EA%B0%80%EC%A0%95+%EA%B0%80%EC%9D%B4%EB%93%9C%EB%9D%BC%EC%9D%B8_FF.hwp,보험리스크관리국,보험계리팀,이용세 선임조사역,02-3145-7255,"1. 관련근거 - 금융규제 운영규정 제16조

2. 보험업법 제120조, 보험업법시행령 제63조, 제65조, 보험업감독규정 제6-11조, 제7-2조의2 및 보험업감독업무시행세칙 <별표22>, <별표35> 등에 따른 보험회사 책임준비금 산출과 관련한 계리적가정 가이드라인을 송부하니, 붙임을 참고하여 업무수행에 만전을 기하여 주시기 바랍니다.

3. 동 가이드라인은 '24.4분기 결산부터 적용하는 것을 원칙으로 합니다. 다만, 손해율 가정에 대한 가이드라인은 결산 적용을 위한 준비기간이 필요할 경우 '25.1분기 결산부터 적용할 수 있습니다.


 - 아 래 -

  - [관리번호] 감2024-41005
  - [감독행정목적] 보험회사 책임준비금 산출과 관련한 계리적가정 산출 가이드라인 제시
  - [감독행정내용] 붙임 참조
  - [관련법령] 보험업법 제120조, 보험업법시행령 제63조, 제65조, 보험업감독규정 제6-11조 제7-2조의2 및 보험업감독업무시행세칙 <별표22>, <별표35> 등
  - [내부경영사항 관련] 해당 없음"
감2024-41004,의료비 지출을 보험금 지급대상으로 하는 상품 운영 시 유의사항 안내,보험감독국,20241122,시행중,의료비 지출을 보험금 지급대상으로 하는 상품 운영 시 유의사항 안내.hwp,https://www.fss.or.kr/fss.hpdownload?path=/law/ptl/&file=2170301_20241122084755318_0.hwp&filere=%EC%9D%98%EB%A3%8C%EB%B9%84+%EC%A7%80%EC%B6%9C%EC%9D%84+%EB%B3%B4%ED%97%98%EA%B8%88+%EC%A7%80%EA%B8%89%EB%8C%80%EC%83%81%EC%9C%BC%EB%A1%9C+%ED%95%98%EB%8A%94+%EC%83%81%ED%92%88+%EC%9A%B4%EC%98%81+%EC%8B%9C+%EC%9C%A0%EC%9D%98%EC%82%AC%ED%95%AD+%EC%95%88%EB%82%B4.hwp,보험감독국,보험상품제도팀,신진우 선임조사역,02-3145-7465,"- 아 래 -            

  - [관리번호] 감2024-41004 
  - [감독행정목적] 의료비 지출을 보험금 지급대상으로 하는 보험상품과 관련하여, 의료기관 및 보험가입자의 도덕적 해이, 과잉 의료행위를 유발하거나 보험사기를 조장할 우려가 있으며 고액 의료비 지출에 대한 대가로 고액 보험금을 수령하는 구조가 건강보험 본인부담금 제도를 형해화하고, 의료체계의 왜곡을 유발하는 등 사회적 손실을 유발할 가능성이 있음 
  - [감독행정내용] 국민건강보험법 및 의료급여법 등에 따른 급여 또는 비급여 의료비를 계단식으로 보장하는 등 계약자의 역선택을 조장하여 사회적 손실을 유발하지 않도록 설계할 필요
  - [관련법령]  
  - [내부경영사항 관련] 해당 없음"
감2024-11008,기관 간 RP거래 최소증거금률 가이드라인,자본시장감독국,20240902,시행중,붙임_RP시장 최소증거금률 가이드라인.hwp,https://www.fss.or.kr/fss.hpdownload?path=/law/ptl/&file=2090224_20240830143938295_0.hwp&filere=%EB%B6%99%EC%9E%84_RP%EC%8B%9C%EC%9E%A5+%EC%B5%9C%EC%86%8C%EC%A6%9D%EA%B1%B0%EA%B8%88%EB%A5%A0+%EA%B0%80%EC%9D%B4%EB%93%9C%EB%9D%BC%EC%9D%B8.hwp,자본시장감독국,파생상품시장팀,정민희 수석조사역,02-3145-7605,"1. 관련 근거 : 금융규제 운영규정 제16조, 제2조 제5호

  2. 자본시장과 금융투자업에 관한 법률 제166조 및 동 법 시행령 제181조에 따르면 기관 상호간에 환매조건부매매를 할 경우 대상 증권의 매수자는 담보증권의 특성과 매도자의 신용위험을 반영한 최소증거금률을 설정·적용하여야 합니다. 

  3. 대상 증권의 매수자가 최소증거금률을 설정·적용하지 않을 경우, 동 법 제420조 및 제422조와 [별표1]167에 의해 기관 및 임직원 제재 조치를 받을 수 있습니다. 

  4. 이에 첨부파일과 같이 담보증권의 특성과 매도자의 신용위험을 반영한 최소증거금률 가이드라인을 제시하오니, 동 가이드라인을 참고하여 법령 위반이 발생하지 않도록 업무에 만전을 기하여 주시기 바랍니다. 

            - 아 래 -            

  - [관리번호] 감2024-11008 
  - [감독행정목적] 기관 간 환매조건부매매 시, 대상 증권 매수자가 설정·적용하여야 하는 최소증거금률의 가이드라인 제시
  - [감독행정내용] 붙임 참조
  - [관련법령] 자본시장과 금융투자업에 관한 법률 제166조, 동 법 시행령 제181조 제3항 제1호
  - [내부경영사항 관련] 해당 없음"
감2024-11007,익일 영업개시 전 외환거래에 대한 회계처리 가이드라인,외환감독국,20240701,시행중,240618_익일 영업개시전 외환거래에 대한 회계처리 가이드라인.hwp,https://www.fss.or.kr/fss.hpdownload?path=/law/ptl/&file=2232104_20240618095845139_0.hwp&filere=240618_%EC%9D%B5%EC%9D%BC+%EC%98%81%EC%97%85%EA%B0%9C%EC%8B%9C%EC%A0%84+%EC%99%B8%ED%99%98%EA%B1%B0%EB%9E%98%EC%97%90+%EB%8C%80%ED%95%9C+%ED%9A%8C%EA%B3%84%EC%B2%98%EB%A6%AC+%EA%B0%80%EC%9D%B4%EB%93%9C%EB%9D%BC%EC%9D%B8.hwp,외환감독국,외환건전성감독팀,조지연 선임조사역,02-3145-7930,"- 아 래 -            

  - [관리번호] 감2024-11007 
  - [감독행정목적] 개정된 시행세칙 조항이 취지에 맞게 운용될 수 있도록 익일 영업개시 전 외환거래의 당일 회계처리 필요성 및 실무적 절차 등에 대한 기준을 마련
  - [감독행정내용] 붙임 참조
  - [관련법령]  은행업감독업무시행세칙 [별표4], 금융투자업규정시행세칙 [별표1의1], [별표21]
  - [내부경영사항 관련] 해당 없음"
