번호,제목,담당부서,보도일,첨부파일,첨부파일내용 미리보기,상세페이지URL,내용,문제유형,파싱된보도일,원본보도일
492,"환경부-금융위원회, 탄소중립 이끌녹색금융 전문인력 양성 본격화",금융시장안정국,2024년 12월 12일,"250522_(보도자료) 환경부-금융위원회, 탄소중립 이끌 녹색금융 전문인력 양성 본격화.hwp (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=c97a968f285c4445a73a690a3c14dd18&fileSn=1&bbsId=), 250522_(보도자료) 환경부-금융위원회, 탄소중립 이끌 녹색금융 전문인력 양성 본격화.pdf (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=c97a968f285c4445a73a690a3c14dd18&fileSn=2&bbsId=)","<><보도자료><> <보도시점><2025. 5. 23.(금) 09:00><배포><2025. 5. 22.(목)> <환경부-금융위원회, 탄소중립 이끌 녹색금융 전문인력 양성 본격화> <- 환경부, 금융위원회, 금융감독원, 한국환경산업기술원, 한국금융연수원 녹색금융 전문인력 양성을 위한 업무협약 체결> 정부 기관이 탄소중립을 실현하고 친환경 투자를 확대하기 위해",https://www.fss.or.kr/fss/bbs/B0000188/view.do?nttId=194237&menuNo=200218&pageIndex=50,"- 환경부, 금융위원회, 금융감독원, 한국환경산업기술원, 한국금융연수원 녹색금융 전문인력 양성을 위한 업무협약 체결
※ 자세한 내용은 첨부파일을 참고하시기 바랍니다.",보도일이 2025년 이전 (2024-12-12),2024-12-12,
505,'24년 하반기 가상자산사업자 실태조사 결과,가상자산감독국,2024.7.1,"250520_(보도자료) 24년 하반기 가상자산사업자 실태조사 결과.hwp (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=b5c3748cfe76485db1a5f5d148b70545&fileSn=1&bbsId=), 250520_(보도자료) 24년 하반기 가상자산사업자 실태조사 결과.pdf (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=b5c3748cfe76485db1a5f5d148b70545&fileSn=2&bbsId=)",<광부><보도자료><> <보도시점><2025. 5. 21.(수) 조간><배포><2025. 5. 20.(화) 09:00> <’24년 하반기 가상자산사업자 실태조사 결과> <1><>< 실태조사 개요> □ 금융정보분석원(원장 박광)은 국내 가상자산 시장 현황 파악을 위해 25개 신고 사업자에 대한 ’24년 하반기 실태조사를 실시하였습니다. <><< 가상자산사업자,https://www.fss.or.kr/fss/bbs/B0000188/view.do?nttId=194141&menuNo=200218&pageIndex=51,"□ 금융정보분석원(원장 박광)은 국내 가상자산 시장 현황 파악을 위해 25개 신고 사업자에 대한 '24년 하반기 실태조사를 실시하였습니다.
< 가상자산사업자 실태조사 개요 >
ㅁ 조사대상 : 25개 가상자산사업자* (17개 거래소(거래업자), 8개 보관,지갑업자)
ㅁ 조사방법 : 사업자가 작성,제출한 값을 기초로 집계
ㅁ 대상기간 및 기준시점 : '24.7.1.~'24.12.31. / '24.12.31.
* '24.12월말 기준, 총 34개 신고 사업자 중 영업종료 사업자 9개 미포함
- '24년 상반기 대비 전체 시장의 일평균 거래규모(22%)와 거래가능 이용자(25%), 영업이익(28%)이 증가하였으며, 시가총액(91%), 원화예치금(114%)은 급증
- 반면, 코인마켓의 일평균 거래규모(△81%), 시가총액(△19%), 영업이익(△8%)은 감소
- 가상자산의 외부 이전 금액(30%)은 증가하였으며, 특히 화이트리스트(해외사업자 및 개인지갑)로의 이전 금액(38%) 증가폭이 확대
- 보관 및 지갑 사업자의 이용 고객 수(△99%) 및 총 수탁고(△89%)는 감소
※ 자세한 내용은 첨부파일을 참고하시기 바랍니다.",보도일이 2025년 이전 (2024-07-01),2024-07-01,
512,더 많은 소비자들이 안심하고 금융거래를 할 수 있도록 안심차단서비스 편의성을 대폭 개선하였습니다,금융사기대응단,2024.8.23,"250516_(보도참고) 더 많은 소비자들이 안심하고 금융거래를 할 수 있도록 안심차단서비스 편의성을 대폭 개선하였습니다.hwp (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=ed17c505cf5246bea81b647df7ff9372&fileSn=1&bbsId=), 250516_(보도참고) 더 많은 소비자들이 안심하고 금융거래를 할 수 있도록 안심차단서비스 편의성을 대폭 개선하였습니다.pdf (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=ed17c505cf5246bea81b647df7ff9372&fileSn=2&bbsId=)"," <><보도참고자료><> <보도시점>< 배포시><배포><2025. 5. 16.(금)> <더 많은 소비자들이 안심하고 금융거래를 할 수 있도록 안심차단서비스 편의성을 대폭 개선하였습니다. > < - 여신거래안심차단 신청시 신용카드 신규 발급도 구분하여 차단 - 안심차단서비스(여신거래, 비대면 계좌개설) 신청주체를 본인 외 가족으로 확대 - 상호금융권의 모바일",https://www.fss.or.kr/fss/bbs/B0000188/view.do?nttId=194054&menuNo=200218&pageIndex=52,"- 여신거래안심차단 신청시 신용카드 신규 발급도 구분하여 차단
- 안심차단서비스(여신거래, 비대면 계좌개설) 신청주체를 본인 외 가족으로 확대
- 상호금융권의 모바일 신청채널 확대 예정
※ 자세한 내용은 첨부파일을 참고하시기 바랍니다.",보도일이 2025년 이전 (2024-08-23),2024-08-23,
630,프리마켓 시간대 거래시 주가 급등락에 따른 추종매매 유의,조사1국,00005190,"250327_(보도자료) 프리마켓 시간대 거래시 주가 급등락에 따른 추종매매 유의.hwpx (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=6c47fefbf26f4025b41411ee7cf77921&fileSn=1&bbsId=), 250327_(보도자료) 프리마켓 시간대 거래시 주가 급등락에 따른 추종매매 유의.pdf (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=6c47fefbf26f4025b41411ee7cf77921&fileSn=2&bbsId=)","그림입니다. 원본 그림의 이름: CI.jpg 원본 그림의 크기: 가로 677pixel, 세로 970pixel 사진 찍은 날짜: 2008년 05월 26일 오후 11:00 프로그램 이름 : Adobe Photoshop CS Windows 색 대표 : sRGB 보 도 자 료 그림입니다. 원본 그림의 이름: CLP00004cd82977.bmp 원본 그림의 크기: ",https://www.fss.or.kr/fss/bbs/B0000188/view.do?nttId=192337&menuNo=200218&pageIndex=63,"□ 최근 대체거래소(NXT)의 프리마켓(08:00～08:50) 개시 직후 단주 주문만으로 최초가격이 상?하한가*로 형성된 후
* 프리마켓은 정규시장에 비해 유동성이 적고(’25.3.4.~3.24. 중 전체시장 거래량의 1.86%), ‘단일가 매매’ 대신 ‘접속매매’ 방식으로 최초가격을 결정하는 데 기인
ㅇ 일정 시간 시세 변동이 없다가, 이후 정상가격을 찾아가는 과정에서 주가가 급등락하는 현상이 반복적으로 발생하고 있습니다.
□ 이는 많은 경우 프리마켓의 시초가 결정방식에 아직 익숙하지 않은 투자자들의 1회성 주문에 의한 것으로 보이나
ㅇ 특정 계좌에서 여러 종목에 대해 반복적으로 상한가 또는 하한가 호가를 제출하고 체결시킨 사례도 확인되고 있습니다.
□ 위와 같은 매매양태가 시장에서 확대?재생산될 경우 시장가격을 왜곡하거나 타인의 그릇된 판단이나 오해를 유발할 우려가 있고
ㅇ 가격 착시 효과로 인한 추종매매 등이 발생하여 예기치 못한 피해가 발생할 수 있으므로 투자자들의 각별한 주의가 요구됩니다.
① (모방거래 자제) 소량의 주문이라도 시세에 부당한 영향을 줄 우려가 있는 경우 시장감시의 대상이 되어 예방조치*되거나
* 불공정거래 의심 계좌 대상 회원사에 수탁관리 등 조치 요구(유선경고 → 서면경고 → 수탁거부예고 → 수탁거부)
- 정도가 심한 경우 시장질서교란행위 또는 시세조종으로 처벌 될 수 있음을 유념하여 주시기 바랍니다.
② (추종매매 유의) 또한, 프리마켓 단주거래로 인한 상?하한가 형성은 일시적 급등락이 발생할 개연성이 높으므로 호가?체결 상황 등을 체크하여 피해가 발생하지 않도록 유의하시기 바랍니다.
※ 자세한 내용은 첨부파일을 참고하시기 바랍니다.",보도일 파싱 실패,,00005190
658,㈜문화상품권의 선불업 미등록 관련 조치사항 및 소비자 유의사항 안내,전자금융감독국,2024.9.15,"250320_(보도참고) ㈜문화상품권의 선불업 미등록 관련 조치사항 및 소비자 유의사항 안내.hwp (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=49818050e43c4ef68e2b52ea5f8b1a27&fileSn=1&bbsId=), 250320_(보도참고) ㈜문화상품권의 선불업 미등록 관련 조치사항 및 소비자 유의사항 안내.pdf (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=49818050e43c4ef68e2b52ea5f8b1a27&fileSn=2&bbsId=)",<><보도참고자료><><보도시점>< 배포시><배포><2025. 3. 20.(목) 09:00><㈜문화상품권의 선불업 미등록 관련 조치사항 및 소비자 유의사항 안내> <- 관계부처 합동으로 ㈜문화상품권 발행 상품권 구매‧이용시 유의사항과 함께 청약철회 및 환불요청 등 소비자 권리 안내 -> 개정 ｢전자금융거래법｣ 시행(’24.9.15.)으로 선불업(선불전자지급,https://www.fss.or.kr/fss/bbs/B0000188/view.do?nttId=192114&menuNo=200218&pageIndex=66,"개정 「전자금융거래법」 시행(’24.9.15.)으로 선불업(선불전자지급수단 발행 및 관리업) 등록 대상이 확대됨에 따라, 금융당국은 등록을 신청한 16개 업체에 대한 등록을 법상 등록 기한인 ’25.3.17.까지 완료하였다.
그러나, ㈜문화상품권의 경우, 동 사가 발행하는 온라인 문화상품권이 개정 「전자금융거래법」상 선불전자지급수단에 해당되는 등 선불업 등록 대상이나 ’25.3.18. 이후에도 등록을 하지 않고 온라인 문화상품권 영업을 계속한 것으로 볼 여지가 있어, 금융감독원은 이에 대한 확인을 수사당국*에 요청하였다.
* 미등록 선불업 영위시 「전자금융거래법」(§49⑤)상 형사처벌 대상에 해당(3년 이하 징역 또는 2천만원 이하 벌금)
※ ㈜문화상품권은 금융당국을 상대로 등록 의무 부존재 확인 행정소송을 제기(’25.3.12.)
이에, 금융위원회 , 금융감독원, 공정거래위원회 등 관계부처는 ㈜문화상품권의 선불업 미등록에 따른 소비자 유의사항을 발표하였다.
※ 자세한 내용은 첨부파일을 참고하시기 바랍니다.",보도일이 2025년 이전 (2024-09-15),2024-09-15,
664,선불업 등록 처리 상황 및 소비자 유의사항,전자금융감독국,2024.9.15,"250319_(보도참고) 선불업 등록 처리 상황 및 소비자 유의사항.hwp (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=be9605f862684a64b8ef837eca40c287&fileSn=1&bbsId=), 250319_(보도참고) 선불업 등록 처리 상황 및 소비자 유의사항.pdf (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=be9605f862684a64b8ef837eca40c287&fileSn=2&bbsId=)","<광부><보도참고자료><> <보도시점><배포 시><배포><2025. 3. 19.(수) 09:00> <선불업 등록 처리 상황 및 소비자 유의사항> <√ 개정 전금법 시행으로 선불업자로 신규 포섭된 16개사가 등록을 완료하였으며, 선불충전금 전액 별도관리 등 강화된 규제 적용으로 선불 이용자 보호 강화 √ 선불업 미등록 업체 이용시 업체의 파산·영업정지·가맹점",https://www.fss.or.kr/fss/bbs/B0000188/view.do?nttId=192082&menuNo=200218&pageIndex=67,"√ 개정 전금법 시행으로 선불업자로 신규 포섭된 16개사가 등록을 완료하였으며, 선불충전금 전액 별도관리 등 강화된 규제 적용으로 선불 이용자 보호 강화
√ 선불업 미등록 업체 이용시 업체의 파산,영업정지,가맹점 축소 등이 발생할 경우 환불이 어려울 수 있으므로 이용에 유의 필요
※ 자세한 내용은 첨부파일을 참고하시기 바랍니다.",보도일이 2025년 이전 (2024-09-15),2024-09-15,
701,"ETF의 부동산 재간접펀드 투자가 허용되고, 대체투자자산에 대한 평가가 강화됩니다",자산운용감독국,2024.1.3,"250311_(보도자료) ETF의 부동산 재간접펀드 투자가 허용되고, 대체투자자산에 대한 평가가 강화됩니다.hwp (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=763369b45a2842829cb4681ee527cc96&fileSn=1&bbsId=), 250311_(보도자료) ETF의 부동산 재간접펀드 투자가 허용되고, 대체투자자산에 대한 평가가 강화됩니다.pdf (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=763369b45a2842829cb4681ee527cc96&fileSn=2&bbsId=)"," <광부><보도자료><> <보도시점><배포시><배포><2025. 3. 11.(화) 국무회의 종료후> <ETF의 부동산 재간접펀드 투자가 허용되고, 대체투자자산에 대한 평가가 강화됩니다.> <- ｢공모펀드 경쟁력 제고｣를 위한 자본시장법 시행령 및 금융투자업규정 개정 완료 - ➊ ETF의 상장 재간접리츠 및 부동산‧리츠 ETF 투자(‘재재간접’) 허용 ➋ 대",https://www.fss.or.kr/fss/bbs/B0000188/view.do?nttId=191835&menuNo=200218&pageIndex=71,"ETF의 부동산 재간접펀드 투자가 허용되고, 대체투자자산에 대한 평가가 강화됩니다.
- 「공모펀드 경쟁력 제고」를 위한 자본시장법 시행령 및 금융투자업규정 개정 완료 -
① ETF의 상장 재간접리츠 및 부동산,리츠 ETF 투자(‘재재간접’) 허용
② 대체투자자산에 대한 연 1회 이상 평가 및 외부 전문기관 평가 의무화
※ 자세한 내용은 첨부파일을 참고하시기 바랍니다.",보도일이 2025년 이전 (2024-01-03),2024-01-03,
715,2025년 AML 검사수탁기관 검사계획 마련,자금세탁방지실,2024.12.20,"250305_(보도자료) 2025년 AML 검사수탁기관 검사계획 마련.hwp (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=40cdf5059d864079b55b23299ecb1149&fileSn=1&bbsId=), 250305_(보도자료) 2025년 AML 검사수탁기관 검사계획 마련.pdf (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=40cdf5059d864079b55b23299ecb1149&fileSn=2&bbsId=)",< 금융위원회><보도자료><><보도시점><2025. 3. 6.(목) 조간><배포><2025. 3. 5.(수) 9:00> <2025년 AML 검사수탁기관 검사계획 마련 자금세탁방지 취약부문･고위험 기관에 대해 집중적 검사실시 예정 > < ➊ 민생침해 범죄에 대한 AML 대응 강화 ➋ 디지털 금융거래 확산 등에 따른 신종 자금세탁수법 적시 대응 ➌ 업권별 자금,https://www.fss.or.kr/fss/bbs/B0000188/view.do?nttId=191704&menuNo=200218&pageIndex=72,"자금세탁방지 취약부문,위험 기관에 대해 집중적 검사실시 예정
① 민생침해 범죄에 대한 AML 대응 강화
② 디지털 금융거래 확산 등에 따른 신종 자금세탁수법 적시 대응
③ 업권별 자금세탁방지 감독,검사 역량 강화 및 일관성 제고
금융정보분석원(이하 ‘FIU’)은 3.5일(수) 박광 금융정보분석원장 주재로 「자금세탁방지(Anti-Money Laundering, 이하 AML) 검사수탁기관 협의회」를 개최하고, 「’25년 감독,검사 운영방향(‘24.12.20일 발표)」에 따른 기관별 검사 계획을 논의하였다.
* [참석자] FIU 원장(주재), 11개 검사수탁기관(행정안전부, 우정사업본부, 중소벤처기업부, 관세청, 제주특별자치도청, 금융감독원, 농,수,신협,산림조합,새마을금고중앙회) AML 검사 담당자
※ 자세한 내용은 첨부파일을 참고하시기 바랍니다.",보도일이 2025년 이전 (2024-12-20),2024-12-20,
731,고난도 금융투자상품에 ‘적합한’ 소비자가 제대로 이해하고 계약하는 판매환경을 만들겠습니다.,은행감독국/금융소비자보호총괄국,2024.2.26,"250226_(보도자료) 고난도 금융투자상품에 ‘적합한’ 소비자가 제대로 이해하고 계약하는 판매환경을 만들겠습니다..hwp (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=0ddb333b660a4bdeba6bdc80bcd08180&fileSn=1&bbsId=), 250226_(보도자료) 고난도 금융투자상품에 ‘적합한’ 소비자가 제대로 이해하고 계약하는 판매환경을 만들겠습니다..pdf (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=0ddb333b660a4bdeba6bdc80bcd08180&fileSn=2&bbsId=), 250226_(붙임1) 홍콩H지수 기초 ELS 현황 및 대책.hwp (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=0ddb333b660a4bdeba6bdc80bcd08180&fileSn=3&bbsId=), 250226_(붙임2) 홍콩H지수 ELS 브리핑 관련 QA.hwp (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=0ddb333b660a4bdeba6bdc80bcd08180&fileSn=4&bbsId=)",<><보도자료><> <보도시점><2025. 2. 27.(목) 조간 ><배포><2024.2.26.(수) 9:00> < 고난도 금융투자상품에 ‘적합한’ 소비자가 제대로 이해하고 계약하는 판매환경을 만들겠습니다.> <◈ 고난도 금융투자상품 불완전판매를 예방하기 위한 종합 대책 마련 ➊ (은행 판매채널) ELS는 소비자 보호장치를 갖춘 거점점포를 통해서만 판매 ➋,https://www.fss.or.kr/fss/bbs/B0000188/view.do?nttId=191478&menuNo=200218&pageIndex=74,"◈ 고난도 금융투자상품 불완전판매를 예방하기 위한 종합 대책 마련
① (은행 판매채널) ELS는 소비자 보호장치를 갖춘 거점점포를 통해서만 판매
② (적합성,적정성 평가) 투자자 정보 확인,성향 분석시 필수확인정보를 모두 고려하도록 하고, 성향 판단시 점수방식과 추출방식을 모두 활용
③ (투자 권유) 상품설계시 상품별 판매대상 고객군을 사전에 정하고, 원금 100% 손실 감내 등 적합 판정 소비자에게만 ELS 투자 권유 가능
④ (상품 가입) 소비자가 부적합,부적정한 상품 가입을 원하는 경우 부적합,부적정 상품임을 명확히 알 수 있도록 ‘부적정 판단 보고서’를 개선
⑤ (상품이해도 제고) 상품명 앞에 ‘고난도 금융투자상품’ 문구를 추가하고, 창구 설명시, 숙려기간 중에 소비자 이해 및 주의환기용 동영상을 제공
⑥ (성과보상체계) 금융상품 판매 단기 영업실적보다 고객 이익을 우선하도록 재설계
※ 자세한 내용은 첨부파일을 참고하시기 바랍니다.",보도일이 2025년 이전 (2024-02-26),2024-02-26,
732,"자동차보험, 합리적 보상,보험료 개선… 국민 부담 낮춘다",보험감독국,2024.3.6,"250225_(보도자료) 자동차보험, 합리적 보상·보험료 개선...국민 부담 낮춘다.hwp (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=c700e95dd3af42a0a5b3fa5245a930fb&fileSn=1&bbsId=), 250225_(보도자료) 자동차보험, 합리적 보상·보험료 개선...국민 부담 낮춘다.pdf (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=c700e95dd3af42a0a5b3fa5245a930fb&fileSn=2&bbsId=)","<><보도자료><> <보도시점 : 2025. 2. 26.(수) 06:00 이후(2. 26.(수) 석간) / 배포 : 2025. 2. 25.(화)> <자동차보험, 합리적 보상·보험료 개선 … 국민 부담 낮춘다 > <- 기준 없이 지급되던 향후치료비의 제도화 및 경상환자 장기치료 개선 - 배우자·자녀 무사고 경력 인정 확대 및 중대 법규 위반 할증 개선 등> ",https://www.fss.or.kr/fss/bbs/B0000188/view.do?nttId=191466&menuNo=200218&pageIndex=74,"□ 국토교통부(장관 박상우)와 금융위원회(위원장 김병환), 금융감독원(원장 이복현)은 국민의 자동차보험료 부담 완화와 사고 피해자에 대한 적정 배상을 지원하기 위한「자동차보험 부정수급 개선 대책」을 마련하고 후속 조치를 조속히 추진하기로 하였다.
□ 자동차보험은 사고 피해자의 보호를 위해 피해자의 치료를 최대한 보장하나, 그동안 이를 악용한 부정수급, 보험사기* 및 과도한 합의금 지급 등의 문제가 지속되었다는 지적이 있었다.
* ‘24.3.6, 금융감독원은 ‘23년도에 5,476억원(6.5만명)의 자동차보험 사기를 적발하였다고 발표
ㅇ 특히, 과잉 진료,장기 치료 등으로 인해 관절,근육의 긴장,삠(염좌) 등 진단을 받은 경상환자에게 지급되는 치료비의 경우, 최근 6년간 연평균 증가율이 중상환자(연 3.5%)의 경우보다 2.5배 이상 높은 9%로 ’23년 한해에만 약 1.3조원에 이르고 있다.
- 보험사는 조기 합의를 목적으로 제도적 근거가 없는 향후치료비*를 관행적으로 지급하여 ’23년 기준 그 규모가 치료비보다 많은 1.4조원에 달하고 있으며, 이로 인해 2,400만명 이상 가입자의 보험료를 상승시키는 요인으로 작용하고 있다.**
* 치료 종결 이후 장래 발생이 예상되는 추가 치료에 대해 사전 지급하는 치료비
** ‘24.5월 감사원 감사시 근거 없는 합의금(향후치료비) 과도 및 他 보험 보상과 중복수급 지적
ㅇ 한편, 그간 가족의 자동차보험으로 안전하게 운전한 배우자 또는 자녀의 경우 본인 명의의 자동차보험 가입 시에 그동안의 운전경력을 인정받지 못하는 문제점에 대한 제도개선 요구와 함께,
- 마약,약물 운전 등 중대 교통법규 위반자의 보험료 할증 체계 부재 및 지급보증 절차의 전자화 등에 대한 제도개선 요구도 있었다.
□ 이에, 국토교통부, 금융위원회 및 금융감독원 등 관계기관은 국민 보험료 부담 완화를 위해 피해 정도에 따른 적정 치료를 보장하고 실제 손해에 대한 충분한 보상금이 지급될 수 있도록 하되, 불건전 행위에 대한 제재 및 처벌 강화와 보험제도 운영상의 미비점을 보완하기로 하였다.
ㅇ 이를 위해 지난 ’24년 12월 16일 제5차 보험개혁회의(금융위원회 부위원장 주재)에 비공개 상정하여 소비자,보험 관련 학계, 연구기관, 업계 등으로부터 의견수렴을 하였고, 최종적으로 아래의 제도개선 사항을 마련하였다.
※ 자세한 내용은 첨부파일을 참고하시기 바랍니다.",보도일이 2025년 이전 (2024-03-06),2024-03-06,
